,Date,Daily Rain (in)
Low Datetime,2022-05-13,2022-05-13T01:00:00-07:00
Average,2022-05-12,0.24
High,2022-05-12,0.71
High Datetime,2022-05-12,2022-05-12T21:51:00-07:00
Low,2022-05-12,0
Low Datetime,2022-05-12,2022-05-12T01:00:00-07:00
Average,2022-05-11,0
High,2022-05-11,0.01
High Datetime,2022-05-11,2022-05-11T20:58:00-07:00
Low,2022-05-11,0
Low Datetime,2022-05-11,2022-05-11T01:00:00-07:00
Average,2022-05-10,0.22
High,2022-05-10,0.24
High Datetime,2022-05-10,2022-05-10T07:26:00-07:00
Low,2022-05-10,0
Low Datetime,2022-05-10,2022-05-10T00:00:00-07:00
Average,2022-05-09,0.02
High,2022-05-09,0.19
High Datetime,2022-05-09,2022-05-09T23:58:00-07:00
Low,2022-05-09,0
Low Datetime,2022-05-09,2022-05-09T01:00:00-07:00
Average,2022-05-08,0.09
High,2022-05-08,0.18
High Datetime,2022-05-08,2022-05-08T13:39:00-07:00
Low,2022-05-08,0
Low Datetime,2022-05-08,2022-05-08T01:00:00-07:00
Average,2022-05-07,0.95
High,2022-05-07,2.34
High Datetime,2022-05-07,2022-05-07T22:48:00-07:00
Low,2022-05-07,0
Low Datetime,2022-05-07,2022-05-07T00:00:00-07:00
Average,2022-05-06,0.14
High,2022-05-06,0.52
High Datetime,2022-05-06,2022-05-06T23:58:00-07:00
Low,2022-05-06,0
Low Datetime,2022-05-06,2022-05-06T01:00:00-07:00
Average,2022-05-05,0.37
High,2022-05-05,0.76
High Datetime,2022-05-05,2022-05-05T23:33:00-07:00
Low,2022-05-05,0
Low Datetime,2022-05-05,2022-05-05T01:00:00-07:00
Average,2022-05-04,0
High,2022-05-04,0
High Datetime,2022-05-04,2022-05-04T01:00:00-07:00
Low,2022-05-04,0
Low Datetime,2022-05-04,2022-05-04T01:00:00-07:00
Average,2022-05-03,0.08
High,2022-05-03,0.12
High Datetime,2022-05-03,2022-05-03T10:11:00-07:00
Low,2022-05-03,0
Low Datetime,2022-05-03,2022-05-03T01:00:00-07:00
Average,2022-05-02,0.54
High,2022-05-02,0.71
High Datetime,2022-05-02,2022-05-02T09:49:00-07:00
Low,2022-05-02,0
Low Datetime,2022-05-02,2022-05-02T01:00:00-07:00
Average,2022-05-01,0
High,2022-05-01,0
High Datetime,2022-05-01,2022-05-01T01:00:00-07:00
Low,2022-05-01,0
Low Datetime,2022-05-01,2022-05-01T01:00:00-07:00
